# step cn bias_eV energy_eV temperature_K
55000 1.002027 1.0335305857e-01 -273323.687500 317.67
55500 0.966221 9.7872763730e-02 -273323.968750 285.43
56000 1.035972 1.5278628679e-01 -273324.156250 299.20
56500 1.291473 1.9101328432e-01 -273323.187500 304.64
57000 1.137256 2.1160221231e-01 -273321.562500 311.63
57500 1.025830 1.7230358809e-01 -273323.000000 311.06
58000 1.083687 2.1572584902e-01 -273323.718750 288.04
58500 1.048575 2.0958179413e-01 -273324.875000 310.27
59000 1.098321 2.4394488250e-01 -273325.156250 285.43
59500 1.321237 2.0669779538e-01 -273325.031250 300.48
60000 1.336032 2.0853935780e-01 -273324.687500 314.79
60500 1.389014 1.8092039051e-01 -273322.625000 276.99
61000 1.193788 2.8328015039e-01 -273323.375000 295.39
61500 1.205609 2.9204755231e-01 -273323.437500 306.75
62000 1.120283 2.8837576896e-01 -273324.031250 302.87
62500 1.008077 2.2219349036e-01 -273322.906250 316.26
63000 1.092094 2.9406055405e-01 -273322.718750 306.09
63500 1.078052 2.9547667607e-01 -273323.406250 295.84
64000 0.927899 1.6692693194e-01 -273323.562500 296.35
64500 1.168749 3.3527563812e-01 -273324.625000 299.68
65000 1.212484 3.3552912766e-01 -273323.343750 301.54
65500 0.988048 2.4855914212e-01 -273323.218750 310.99
66000 0.756185 4.4115295351e-02 -273324.906250 284.41
66500 0.689412 3.5377844519e-02 -273323.250000 294.54
67000 0.813273 1.1106724891e-01 -273324.156250 295.63
67500 0.820079 1.3083761298e-01 -273324.125000 305.20
68000 0.899263 2.0593196149e-01 -273323.281250 299.63
68500 0.919066 2.3455454974e-01 -273323.687500 275.00
69000 0.873129 2.0632348125e-01 -273323.937500 307.12
69500 0.844057 1.9418359388e-01 -273323.781250 303.94
70000 0.883370 2.3831631623e-01 -273323.812500 298.43
70500 0.858853 2.2888162904e-01 -273323.281250 282.90
71000 0.802723 1.9322311390e-01 -273323.312500 293.02
71500 0.587657 5.2722346526e-02 -273323.281250 315.05
