# step cn bias_eV energy_eV temperature_K
55000 1.029210 1.0812832660e-01 -275289.437500 308.40
55500 1.038890 1.2464188603e-01 -275288.468750 317.92
56000 0.883008 8.0914920868e-02 -275285.968750 289.03
56500 0.923726 1.1795888069e-01 -275286.750000 276.87
57000 0.931622 1.3651806205e-01 -275287.343750 283.03
57500 0.964378 1.6296669790e-01 -275288.125000 308.68
58000 0.821929 9.6781485770e-02 -275287.593750 297.26
58500 0.823478 1.1366458703e-01 -275288.937500 277.46
59000 0.931289 1.8733882865e-01 -275287.656250 287.16
59500 0.910487 1.9131277133e-01 -275288.218750 289.86
60000 0.869294 1.8073910610e-01 -275287.000000 287.71
60500 0.913364 2.1686713797e-01 -275288.687500 302.70
61000 0.911660 2.2753402050e-01 -275290.031250 299.51
61500 0.893148 2.2954599381e-01 -275287.812500 307.95
62000 0.825857 1.9143142160e-01 -275289.593750 287.81
62500 0.929873 2.6546762534e-01 -275288.312500 298.00
63000 0.823394 2.0924068487e-01 -275288.812500 295.13
63500 0.872076 2.5952514100e-01 -275288.531250 294.74
64000 0.906355 2.8742452762e-01 -275287.593750 286.57
64500 0.926152 3.0245436873e-01 -275289.187500 299.75
65000 0.917283 3.0933987281e-01 -275289.312500 301.66
65500 0.953954 3.2159204673e-01 -275289.125000 285.57
66000 0.954994 3.3001522736e-01 -275288.625000 303.09
66500 0.952167 3.3859198221e-01 -275288.968750 298.47
67000 0.959351 3.4591821124e-01 -275288.343750 311.06
67500 0.887641 3.3531149673e-01 -275291.187500 288.47
68000 0.794410 2.4693497726e-01 -275289.968750 284.16
68500 0.653838 8.9692455062e-02 -275288.031250 306.78
69000 0.942250 3.7149016020e-01 -275289.468750 289.92
69500 0.961187 3.7586629710e-01 -275290.468750 303.73
70000 0.929817 3.8577981712e-01 -275289.125000 296.12
70500 1.013294 3.6040732805e-01 -275288.437500 300.35
71000 0.972524 3.9361312563e-01 -275289.437500 280.91
71500 0.979688 3.9740872029e-01 -275289.531250 272.90
72000 1.017630 3.7775655286e-01 -275288.625000 306.51
72500 1.116868 2.6905810863e-01 -275287.156250 318.96
73000 1.125158 2.6857801801e-01 -275287.375000 291.71
73500 1.153711 2.4422402485e-01 -275288.375000 320.62
74000 1.167785 2.3904798429e-01 -275288.781250 286.64
74500 1.121459 3.0356420255e-01 -275288.093750 300.21
75000 1.152931 2.7509704399e-01 -275289.125000 293.49
75500 1.106772 3.3950789613e-01 -275289.531250 303.62
76000 1.120919 3.3073001253e-01 -275290.593750 273.80
76500 1.110299 3.5172467136e-01 -275289.031250 299.82
77000 1.216614 2.3827980222e-01 -275288.781250 291.18
77500 1.045080 4.3339487628e-01 -275289.281250 292.52
78000 1.125032 3.5624011657e-01 -275287.781250 285.29
78500 1.246518 2.3113864140e-01 -275286.906250 302.76
79000 1.117497 3.8047321421e-01 -275288.406250 302.88
79500 1.180082 3.1491496759e-01 -275287.406250 292.00
80000 1.273225 2.3353668498e-01 -275288.656250 294.75
80500 1.280621 2.3928215650e-01 -275286.156250 302.26
81000 1.366629 2.1766144290e-01 -275286.375000 290.58
81500 1.343134 2.3234550428e-01 -275288.656250 275.73
82000 1.398788 2.4119971517e-01 -275289.343750 298.14
82500 1.358620 2.5082619925e-01 -275289.468750 300.52
83000 1.304564 2.7519346713e-01 -275290.031250 269.65
83500 1.211159 3.4224415924e-01 -275288.406250 302.25
84000 1.233125 3.3363132631e-01 -275289.000000 302.98
84500 1.243967 3.3419052272e-01 -275289.375000 311.80
85000 1.194549 3.7952536301e-01 -275289.375000 297.95
85500 1.309828 3.0940225558e-01 -275288.625000 290.29
86000 1.341761 3.0478917832e-01 -275289.031250 297.03
86500 1.375044 3.0454674291e-01 -275288.031250 287.34
87000 1.396117 3.1042742054e-01 -275289.031250 299.98
87500 1.293245 3.4990541164e-01 -275288.812500 302.94
88000 1.197754 4.1108774284e-01 -275288.875000 301.69
88500 1.288890 3.6538130209e-01 -275287.406250 284.53
89000 1.360268 3.4299645641e-01 -275287.781250 315.77
89500 1.240046 4.0497230192e-01 -275288.468750 279.06
